filename,timestamp_s
20210527T120000+1000_Blackbraes-National-Park-Wet-A_852057.flac,0
20210612T140000+1000_Blackbraes-National-Park-Wet-A_856052.flac,0
20201027T154954+1000_Moorrinya-National-Park-Wet-B_931062.flac,0
20200911T110330+1000_Paluma-Range-National-Park-Dry-A_768038.flac,0
20200723T095530+1000_Paluma-Range-National-Park-Wet-A_752129.flac,0
20200723T100000+1000_Paluma-Range-National-Park-Wet-A_752539.flac,0
20200723T100245+1000_Paluma-Range-National-Park-Wet-A_758745.flac,0
20201121T032400Z_Rinyirru-Lakefield-National-Park-Dry-A_827704.flac,0
20201121T040448Z_Rinyirru-Lakefield-National-Park-Dry-B_827300.flac,0
20201121T025300Z_Rinyirru-Lakefield-National-Park-Wet-B_827156.flac,0
20200508T084000+1000_Chillagoe-Wet-A_361759.flac,0
20200508T100838+1000_Chillagoe-Dry-A_365859.flac,0
20200120T121813+1000_Spyglass-Wet-A_147298.flac,0
20200120T125350+1000_Spyglass-Dry-A_149407.flac,0
20200120T135834+1000_Spyglass-Wet-B_151517.flac,0
20200120T144449+1000_Spyglass-Dry-B_153634.flac,0
20200705T200000+1000_Wambiana-Cattle-Station-Wet-B_689299.flac,0
20201014T123330+1000_Daintree-Rainforest-Observatory-Dry-A_486217.flac,0
20201026T080924+1000_Daintree-Rainforest-Observatory-Dry-A_486344.flac,0
20201208T072630+1000_Daintree-Rainforest-Observatory-Dry-A_486851.flac,0
20201014T130100+1000_Daintree-Rainforest-Observatory-Dry-B_488105.flac,0
20201026T081654+1000_Daintree-Rainforest-Observatory-Dry-B_488242.flac,0
20201014T141700+1000_Daintree-Rainforest-Observatory-Wet-A_490174.flac,0
20201026T082924+1000_Daintree-Rainforest-Observatory-Wet-A_490318.flac,0
20201014T145900+1000_Daintree-Rainforest-Observatory-Wet-B_492113.flac,0
20200603T171317+1000_Robson-Creek-Dry-A_586329.flac,0
20201112T155919+1000_Robson-Creek-Dry-A_586889.flac,0
20201112T164518+1000_Robson-Creek-Dry-A_588945.flac,0
20201112T165500+1000_Robson-Creek-Dry-A_589044.flac,0
20210423T170615+1000_Robson-Creek-Dry-A_589146.flac,0
20200914T154807+1000_Robson-Creek-Wet-A_590453.flac,0
20200221T134200+1000_Robson-Creek-Dry-B_590934.flac,0
20200815T140000+1000_Robson-Creek-Dry-B_592163.flac,0
20201112T155500+1000_Robson-Creek-Dry-B_592665.flac,0
20210423T160000+1000_Robson-Creek-Dry-B_592717.flac,0
20201112T150113+1000_Robson-Creek-Wet-B_593519.flac,0
20200812T022448Z_Litchfield-Savanna-Dry-A_950055.flac,0
20210426T043000Z_Litchfield-Savanna-Dry-A_949764.flac,0
20200812T130324+0930_Litchfield-Savanna-Wet-A_950179.flac,0
20200812T150948+0930_Litchfield-Savanna-Dry-B_958022.flac,0
20210502T060000+0930_Litchfield-Savanna-Dry-B_955854.flac,0
20200527T114454+0800_Boyagin-Nature-Reserve-Dry-A_61401.flac,0
20191106T112013+0800_Boyagin-Nature-Reserve-Dry-B_173321.flac,0
20200527T103218+0800_Boyagin-Nature-Reserve-Dry-B_63290.flac,0
20191106T115631+0800_Boyagin-Nature-Reserve-Wet-A_175739.flac,0
20200527T105519+0800_Boyagin-Nature-Reserve-Wet-A_65166.flac,0
20191126T122700+1030_Calperum-Mallee-Dry-A_312041.flac,0
20200107T110000+1030_Calperum-Mallee-Dry-A_312542.flac,0
20200211T110000+1030_Calperum-Mallee-Dry-A_312964.flac,0
20200504T113725+0930_Calperum-Mallee-Dry-A_468795.flac,0
20200504T120000+0930_Calperum-Mallee-Dry-A_468801.flac,0
20200610T140000+0930_Calperum-Mallee-Dry-A_469250.flac,0
20200709T140000+0930_Calperum-Mallee-Dry-A_469595.flac,0
20200810T120000+0930_Calperum-Mallee-Dry-A_469982.flac,0
20210128T130000+1030_Calperum-Mallee-Dry-A_472030.flac,0
20200504T122154+0930_Calperum-Mallee-Dry-B_473188.flac,0
20210401T150000+1030_Calperum-Mallee-Dry-B_477175.flac,0
20200609T124548+0800_Gingin-Dry-A_617858.flac,0
20200609T143311+0800_Gingin-Dry-B_621634.flac,0
20200818T105700+0800_Gingin-Wet-A_622844.flac,0
20200317T115900+0800_Great-Western-Woodlands-Wet-B_436770.flac,0
20200916T140526+0800_Great-Western-Woodlands-Wet-B_438980.flac,0
20190724T114831+1000_Mitchell-Grass-Rangeland-Dry-A_108317.flac,0
20190724T120000+1000_Mitchell-Grass-Rangeland-Dry-A_108319.flac,0
20211021T174923+1000_Mitchell-Grass-Rangeland-Wet-B_1017496.flac,0
20200723T065800Z_Tumbarumba-Wet-Eucalypt-Dry-A_889494.flac,0
20210326T060000Z_Tumbarumba-Wet-Eucalypt-Dry-A_892005.flac,0
20211109T052311Z_Tumbarumba-Wet-Eucalypt-Dry-A_888167.flac,0
20211109T053052Z_Tumbarumba-Wet-Eucalypt-Dry-A_895869.flac,0
20211109T061754Z_Tumbarumba-Wet-Eucalypt-Wet-A_889725.flac,0
20201027T085700+1100_Victorian-Dry-Eucalypt-Wombat-Dry-A_980098.flac,0
20220321T110000+1100_Victorian-Dry-Eucalypt-Wombat-Dry-A_980697.flac,0
20201006T135119+1100_Warra-Tall-Eucalypt-Wet-B_461314.flac,0
20201006T154454+1100_Warra-Tall-Eucalypt-Dry-B_464151.flac,0
20200907T145930+1000_Warra-Tall-Eucalypt-Dry-A_466534.flac,0
20200907T150346+1000_Warra-Tall-Eucalypt-Dry-A_466540.flac,0
20190228T123831+1000_SEQP-Samford-Dry-A_616305.flac,0
20190805T120825+1000_SEQP-Samford-Dry-A_110.flac,0
20190919T110311+1000_SEQP-Samford-Dry-A_248915.flac,0
20190919T110549+1000_SEQP-Samford-Dry-A_248920.flac,0
20191029T114212+1000_SEQP-Samford-Dry-A_249386.flac,0
20191029T114548+1000_SEQP-Samford-Dry-A_249395.flac,0
20191029T120000+1000_SEQP-Samford-Dry-A_249404.flac,0
20190307T103619+1000_SEQP-Samford-Wet-A_612542.flac,0
20190322T103200+1000_SEQP-Samford-Wet-A_612211.flac,0
20190919T104640+1000_SEQP-Samford-Wet-A_249995.flac,0
20190919T104918+1000_SEQP-Samford-Wet-A_249997.flac,0
20190919T105151+1000_SEQP-Samford-Wet-A_250006.flac,0
20201211T091600+1000_SEQP-Samford-Wet-A_69876.flac,0
20190228T132334+1000_SEQP-Samford-Dry-B_615123.flac,0
20190802T135810+1000_SEQP-Samford-Dry-B_3337.flac,0
20190805T090348+1000_SEQP-Samford-Dry-B_2530.flac,0
20190805T091425+1000_SEQP-Samford-Dry-B_2532.flac,0
20190919T111915+1000_SEQP-Samford-Dry-B_251086.flac,0
20210304T120000+1000_SEQP-Samford-Dry-B_71279.flac,0
